step,coverage,test_greedy,test_beam,test_at10
500000,0.943,0.87,0.87,0.87
1000000,0.948,0.85,0.88,0.89
1500000,0.948,0.85,0.89,0.9
2000000,0.948,0.88,0.91,0.9
2500000,0.948,0.84,0.87,0.89
3000000,0.948,0.81,0.87,0.89
3500000,0.948,0.84,0.88,0.89
4000000,0.948,0.83,0.89,0.89
4500000,0.948,0.85,0.91,0.91
