step,coverage,test_greedy,test_beam,test_at10
500000,0.35101806710639516,0.21188630490956073,0.27648578811369506,0.3049095607235142
1000000,0.6690564955549183,0.4005167958656331,0.4935400516795866,0.537467700258398
1500000,0.7748781187266992,0.4160206718346253,0.5038759689922481,0.5090439276485789
2000000,0.8244909664468024,0.36175710594315247,0.5142118863049095,0.5400516795865633
2500000,0.8646400917694294,0.4392764857881137,0.5529715762273901,0.5891472868217055
3000000,0.889589905362776,0.4418604651162791,0.5633074935400517,0.6072351421188631
3500000,0.9016346429595641,0.46770025839793283,0.5943152454780362,0.6227390180878553
4000000,0.9096644680240895,0.42377260981912146,0.5090439276485789,0.5710594315245479
4500000,0.9139661600229424,0.4573643410852713,0.5684754521963824,0.5968992248062015
5000000,0.9174075136220247,0.4754521963824289,0.5813953488372093,0.6020671834625323
