step,coverage,test_greedy,test_beam,test_at10
500000,0.2122,0.186,0.29,0.303
1000000,0.3988,0.23,0.387,0.423
1500000,0.5424,0.255,0.46,0.473
2000000,0.6901,0.292,0.498,0.504
2500000,0.7748,0.302,0.523,0.523
3000000,0.8158,0.324,0.539,0.555
3500000,0.8463,0.319,0.53,0.539
4000000,0.8694,0.334,0.561,0.575
4500000,0.8855,0.354,0.567,0.574
5000000,0.8936,0.374,0.571,0.6
5500000,0.9002,0.365,0.565,0.576
6000000,0.9056,0.368,0.566,0.579
6500000,0.9101,0.371,0.554,0.568
7000000,0.9139,0.37,0.551,0.562
7500000,0.9159,0.347,0.541,0.563
8000000,0.9176,0.335,0.501,0.52
8500000,0.9189,0.343,0.542,0.555
9000000,0.9206,0.33,0.522,0.534
9500000,0.9216,0.369,0.521,0.553
10000000,0.9227,0.352,0.499,0.523
