step,coverage,test_greedy,test_beam,test_at10
500000,0.0472,0.044,0.081,0.1
1000000,0.148,0.095,0.129,0.138
1500000,0.183,0.061,0.093,0.109
2000000,0.1932,0.06,0.087,0.105
2500000,0.1974,0.019,0.047,0.048
3000000,0.1983,0.003,0.009,0.008
3500000,0.1986,0.0,0.004,0.006
4000000,0.1987,0.003,0.005,0.003
4500000,0.1987,0.0,0.002,0.001
5000000,0.1987,0.002,0.005,0.005
5500000,0.1987,0.0,0.0,0.0
6000000,0.1987,0.0,0.001,0.0
6500000,0.1987,0.0,0.001,0.0
7000000,0.1987,0.0,0.001,0.0
7500000,0.1987,0.0,0.004,0.001
8000000,0.1987,0.0,0.004,0.001
8500000,0.1987,0.0,0.004,0.0
9000000,0.1987,0.0,0.001,0.0
9500000,0.1987,0.0,0.001,0.001
10000000,0.1987,0.0,0.004,0.001
