step,coverage,test_greedy,test_beam,test_at10
150000,0.07969432314410481,0.01098901098901099,,
300000,0.5545851528384279,0.16483516483516483,,
450000,0.6888646288209607,0.34065934065934067,,
600000,0.7216157205240175,0.31868131868131866,,
750000,0.7478165938864629,0.32967032967032966,,
900000,0.7663755458515283,0.2967032967032967,,
1050000,0.7969432314410481,0.3516483516483517,,
1200000,0.8187772925764192,0.3076923076923077,,
1350000,0.8919213973799127,0.34065934065934067,,
1500000,0.9541484716157205,0.34065934065934067,,
1650000,0.9858078602620087,0.31868131868131866,,
1800000,1.0,0.3626373626373626,,
1950000,1.0,0.3516483516483517,,
2100000,1.0,0.37362637362637363,,
2250000,1.0,0.4065934065934066,,
2400000,1.0,0.3956043956043956,,
2550000,1.0,0.37362637362637363,,
2700000,1.0,0.42857142857142855,,
2850000,1.0,0.3956043956043956,,
3000000,1.0,0.21978021978021978,,
