step,coverage,test_greedy,test_beam,test_at10
500000,0.5689704617149413,0.2997416020671835,0.4935400516795866,0.5090439276485789
1000000,0.9214224261542874,0.4289405684754522,0.6847545219638242,0.6330749354005168
1500000,0.9773444221393748,0.4263565891472868,0.6640826873385013,0.6976744186046512
2000000,0.981932893604818,0.4470284237726098,0.7157622739018088,0.710594315245478
2500000,0.9830800114711786,0.4909560723514212,0.7002583979328165,0.7441860465116279
3000000,0.9830800114711786,0.4909560723514212,0.7209302325581395,0.7157622739018088
3500000,0.9833667909377689,0.4444444444444444,0.6692506459948321,0.6847545219638242
4000000,0.9842271293375394,0.43669250645994834,0.6382428940568475,0.6821705426356589
4500000,0.9856610266704904,0.5064599483204134,0.7467700258397932,0.7596899224806202
5000000,0.9862345856036708,0.4806201550387597,0.6950904392764858,0.7131782945736435
5500000,0.9868081445368512,0.5038759689922481,0.6408268733850129,0.6640826873385013
6000000,0.9873817034700315,0.46770025839793283,0.661498708010336,0.6692506459948321
6500000,0.987955262403212,0.46511627906976744,0.6434108527131783,0.6640826873385013
7000000,0.9891023802695726,0.46770025839793283,0.6098191214470284,0.6537467700258398
7500000,0.9896759392027531,0.4625322997416021,0.6459948320413437,0.6847545219638242
