step,coverage,test_greedy,test_beam,test_at10
150000,0.12554585152838427,0.01098901098901099,,
300000,0.45524017467248906,0.054945054945054944,,
450000,0.5131004366812227,0.01098901098901099,,
600000,0.537117903930131,0.03296703296703297,,
750000,0.7183406113537117,0.04395604395604396,,
900000,0.7270742358078602,0.03296703296703297,,
1050000,0.740174672489083,0.03296703296703297,,
1200000,0.7587336244541485,0.03296703296703297,,
1350000,0.7751091703056768,0.06593406593406594,,
1500000,0.7893013100436681,0.03296703296703297,,
1650000,0.7936681222707423,0.02197802197802198,,
1800000,0.7980349344978166,0.054945054945054944,,
1950000,0.8045851528384279,0.04395604395604396,,
2100000,0.8089519650655022,0.03296703296703297,,
2250000,0.8165938864628821,0.02197802197802198,,
2400000,0.8198689956331878,0.054945054945054944,,
2550000,0.8264192139737991,0.03296703296703297,,
