step,coverage,test_greedy,test_beam,test_at10
150000,0.08951965065502183,0.03296703296703297,,
300000,0.26419213973799127,0.02197802197802198,,
450000,0.4028384279475983,0.04395604395604396,,
600000,0.6593886462882096,0.02197802197802198,,
750000,0.7096069868995634,0.04395604395604396,,
900000,0.7259825327510917,0.03296703296703297,,
1050000,0.7412663755458515,0.01098901098901099,,
1200000,0.7532751091703057,0.02197802197802198,,
1350000,0.7663755458515283,0.01098901098901099,,
1500000,0.7707423580786026,0.04395604395604396,,
1650000,0.7794759825327511,0.01098901098901099,,
