step,coverage,test_greedy,test_beam,test_at10
500000,0.7023229136793806,0.330749354005168,0.5943152454780362,0.5658914728682171
1000000,0.9635790077430456,0.4082687338501292,0.6744186046511628,0.689922480620155
1500000,0.980498996271867,0.4754521963824289,0.6847545219638242,0.7209302325581395
2000000,0.9842271293375394,0.4909560723514212,0.7286821705426356,0.7441860465116279
2500000,0.98508746773731,0.4806201550387597,0.6795865633074936,0.7338501291989664
3000000,0.9856610266704904,0.4496124031007752,0.6847545219638242,0.7286821705426356
