step,coverage,test_greedy,test_beam,test_at10
0,0.0,0.0,0.002583979328165375,0.015503875968992248
100000,0.07255520504731862,0.06201550387596899,0.11886304909560723,0.14728682170542637
200000,0.24691712073415542,0.20155038759689922,0.2842377260981912,0.3385012919896641
300000,0.474620017206768,0.31007751937984496,0.49612403100775193,0.5012919896640827
400000,0.6217378835675366,0.3772609819121447,0.5581395348837209,0.5581395348837209
500000,0.73128763980499,0.4470284237726098,0.6175710594315246,0.6304909560723514
600000,0.8434184112417551,0.4625322997416021,0.7054263565891473,0.6925064599483204
700000,0.9211356466876972,0.42377260981912146,0.7209302325581395,0.689922480620155
800000,0.9489532549469458,0.4418604651162791,0.7209302325581395,0.7157622739018088
900000,0.962718669343275,0.4625322997416021,0.6976744186046512,0.7080103359173127
1000000,0.9693145970748495,0.4315245478036176,0.6873385012919897,0.7080103359173127
