step,coverage,test_greedy,test_beam,test_at10
500000,0.063,0.03,0.04,0.04
1000000,0.284,0.2,0.23,0.21
1500000,0.319,0.21,0.25,0.25
2000000,0.328,0.17,0.18,0.21
2500000,0.344,0.22,0.24,0.25
3000000,0.351,0.21,0.24,0.25
3500000,0.409,0.26,0.25,0.31
4000000,0.484,0.26,0.34,0.35
4500000,0.762,0.48,0.48,0.56
5000000,0.772,0.52,0.58,0.59
5500000,0.787,0.6,0.58,0.63
6000000,0.796,0.51,0.52,0.57
