step,coverage,test_greedy,test_beam,test_at10
500000,0.1188,0.137,0.214,0.225
1000000,0.3087,0.188,0.314,0.318
1500000,0.4212,0.202,0.369,0.358
2000000,0.5652,0.273,0.458,0.477
2500000,0.6916,0.287,0.486,0.486
3000000,0.778,0.307,0.533,0.534
3500000,0.8227,0.319,0.507,0.521
4000000,0.8524,0.293,0.531,0.539
4500000,0.8731,0.342,0.552,0.576
5000000,0.8894,0.335,0.531,0.54
5500000,0.8986,0.336,0.551,0.549
6000000,0.9048,0.332,0.543,0.539
6500000,0.9092,0.363,0.544,0.565
7000000,0.9144,0.398,0.564,0.574
7500000,0.9179,0.381,0.566,0.583
8000000,0.9206,0.393,0.537,0.559
8500000,0.922,0.386,0.547,0.554
9000000,0.9231,0.364,0.55,0.559
9500000,0.9242,0.36,0.571,0.575
10000000,0.9249,0.415,0.556,0.584
