step,coverage,test_greedy,test_beam,test_at10
0,0.0,0.0,0.0,0.007751937984496124
100000,0.022368798394034987,0.007751937984496124,0.0,0.041343669250646
200000,0.05620877545167766,0.020671834625323,0.0,0.04909560723514212
300000,0.0802982506452538,0.023255813953488372,0.0,0.056847545219638244
400000,0.13593346716375107,0.07235142118863049,0.0,0.15762273901808785
500000,0.2661313449956983,0.14470284237726097,0.0,0.2558139534883721
600000,0.35761399483796963,0.165374677002584,0.0,0.2997416020671835
700000,0.5058789790650989,0.2454780361757106,0.0,0.4418604651162791
800000,0.637223974763407,0.3178294573643411,0.0,0.46770025839793283
900000,0.7467737310008603,0.35658914728682173,0.0,0.5322997416020672
1000000,0.847720103240608,0.36175710594315247,0.0,0.6356589147286822
