step,coverage,test_greedy,test_beam,test_at10
500000,0.668769716088328,0.3178294573643411,0.5813953488372093,0.5710594315245479
1000000,0.9810725552050473,0.45219638242894056,0.7467700258397932,0.7441860465116279
1500000,0.9979925437338687,0.5426356589147286,0.7260981912144703,0.7596899224806202
2000000,0.9994264410668197,0.5968992248062015,0.8320413436692506,0.8423772609819121
2500000,1.0,0.6330749354005168,0.8320413436692506,0.8501291989664083
3000000,1.0,0.7235142118863049,0.8501291989664083,0.8708010335917312
