step,coverage,test_greedy,test_beam,test_at10
500000,0.050186406653283624,0.01808785529715762,0.041343669250646,0.041343669250646
1000000,0.2185259535417264,0.10335917312661498,0.16279069767441862,0.13178294573643412
1500000,0.4123888729566963,0.16020671834625322,0.24806201550387597,0.2532299741602067
2000000,0.5543447089188414,0.10594315245478036,0.19896640826873385,0.19638242894056848
2500000,0.5959277315744193,0.08010335917312661,0.1343669250645995,0.1524547803617571
3000000,0.6131344995698308,0.0,0.00516795865633075,0.012919896640826873
3500000,0.6220246630341267,0.007751937984496124,0.0103359173126615,0.025839793281653745
4000000,0.6260395755663895,0.0,0.00516795865633075,0.012919896640826873
4500000,0.6306280470318325,0.0,0.00516795865633075,0.0103359173126615
5000000,0.6380843131631775,0.0,0.0,0.007751937984496124
