step,coverage,test_greedy,test_beam,test_at10
0,0.0,0.004,0.004,0.009
500000,0.5645,0.498,0.688,0.652
1000000,0.7284,0.52,0.732,0.676
1500000,0.7746,0.499,0.707,0.653
2000000,0.7929,0.515,0.732,0.692
2500000,0.7996,0.534,0.731,0.688
3000000,0.8041,0.525,0.687,0.658
3500000,0.8075,0.535,0.689,0.683
4000000,0.8113,0.518,0.695,0.665
4500000,0.8151,0.523,0.684,0.657
5000000,0.8177,0.526,0.685,0.651
5500000,0.8205,0.543,0.739,0.697
6000000,0.8233,0.53,0.696,0.647
6500000,0.8262,0.524,0.67,0.63
7000000,0.8276,0.529,0.703,0.638
7500000,0.8288,0.505,0.681,0.639
8000000,0.8298,0.52,0.678,0.62
8500000,0.8302,0.525,0.664,0.616
9000000,0.8305,0.525,0.676,0.632
9500000,0.8308,0.526,0.693,0.666
10000000,0.8316,0.513,0.67,0.633
