step,coverage,test_greedy,test_beam,test_at10
0,0.0,0.0,0.0103359173126615,0.012919896640826873
100000,0.00802982506452538,0.0,0.002583979328165375,0.00516795865633075
200000,0.03670777172354459,0.01808785529715762,0.023255813953488372,0.05426356589147287
300000,0.07341554344708918,0.05426356589147287,0.08785529715762273,0.11627906976744186
400000,0.25293948953254947,0.18863049095607234,0.2661498708010336,0.3385012919896641
500000,0.4599942644106682,0.27648578811369506,0.4005167958656331,0.4315245478036176
600000,0.6177229710352738,0.268733850129199,0.42377260981912146,0.4780361757105943
700000,0.7109262976770864,0.29198966408268734,0.4263565891472868,0.4909560723514212
800000,0.7920848867221107,0.3281653746770026,0.4289405684754522,0.5064599483204134
900000,0.8540292515055922,0.28940568475452194,0.4108527131782946,0.4883720930232558
1000000,0.8987668482936622,0.35917312661498707,0.48578811369509045,0.5684754521963824
