step,coverage,test_greedy,test_beam,test_at10
150000,0.08187772925764192,0.03296703296703297,,
300000,0.14410480349344978,0.02197802197802198,,
450000,0.1703056768558952,0.04395604395604396,,
600000,0.18995633187772926,0.02197802197802198,,
750000,0.37663755458515286,0.01098901098901099,,
900000,0.6899563318777293,0.02197802197802198,,
1050000,0.7106986899563319,0.03296703296703297,,
1200000,0.732532751091703,0.03296703296703297,,
1350000,0.8253275109170306,0.02197802197802198,,
1500000,0.8657205240174672,0.04395604395604396,,
1650000,0.9355895196506551,0.054945054945054944,,
1800000,0.962882096069869,0.06593406593406594,,
1950000,0.9694323144104804,0.06593406593406594,,
2100000,0.982532751091703,0.0989010989010989,,
2250000,0.9978165938864629,0.07692307692307693,,
2400000,1.0,0.06593406593406594,,
2550000,1.0,0.04395604395604396,,
2700000,1.0,0.06593406593406594,,
2850000,1.0,0.0989010989010989,,
3000000,1.0,0.0989010989010989,,
