step,coverage,test_greedy,test_beam,test_at10
150000,0.11026200873362445,0.03296703296703297,,
300000,0.17139737991266377,0.03296703296703297,,
450000,0.20851528384279475,0.054945054945054944,,
600000,0.22707423580786026,0.07692307692307693,,
750000,0.23799126637554585,0.054945054945054944,,
900000,0.2445414847161572,0.03296703296703297,,
1050000,0.5524017467248908,0.054945054945054944,,
1200000,0.5687772925764192,0.054945054945054944,,
1350000,0.5786026200873362,0.04395604395604396,,
1500000,0.5960698689956332,0.07692307692307693,,
1650000,0.7456331877729258,0.03296703296703297,,
1800000,0.7521834061135371,0.03296703296703297,,
