step,coverage,test_greedy,test_beam,test_at10
0,0.0,0.0,0.0,0.007751937984496124
100000,0.012905075996558647,0.00516795865633075,0.0,0.015503875968992248
200000,0.02810438772583883,0.00516795865633075,0.0,0.03359173126614987
300000,0.06079724691712073,0.031007751937984496,0.0,0.06718346253229975
400000,0.10782907943791224,0.041343669250646,0.0,0.10852713178294573
500000,0.2079151132778893,0.10852713178294573,0.0,0.20930232558139536
600000,0.28391167192429023,0.15503875968992248,0.0,0.2558139534883721
700000,0.4229997132205334,0.2532299741602067,0.0,0.40568475452196384
800000,0.5818755377114998,0.28165374677002586,0.0,0.49870801033591733
900000,0.7049039288786922,0.3695090439276486,0.0,0.5736434108527132
1000000,0.8242041869802123,0.3953488372093023,0.0,0.5658914728682171
