step,coverage,test_greedy,test_beam,test_at10
100000,0.015772870662460567,0.0103359173126615,0.025839793281653745,0.025839793281653745
200000,0.06567249784915401,0.05426356589147287,0.06201550387596899,0.11369509043927649
300000,0.12646974476627473,0.10077519379844961,0.12661498708010335,0.18604651162790697
400000,0.23946085460281044,0.18087855297157623,0.25064599483204136,0.29457364341085274
500000,0.4207054774878119,0.27648578811369506,0.3385012919896641,0.3953488372093023
600000,0.4926871236019501,0.3152454780361757,0.3695090439276486,0.4005167958656331
700000,0.5319759105248064,0.31007751937984496,0.37467700258397935,0.40310077519379844
800000,0.5609406366504158,0.28165374677002586,0.3850129198966408,0.4134366925064599
900000,0.5870375681101233,0.3462532299741602,0.43669250645994834,0.4315245478036176
1000000,0.610553484370519,0.36175710594315247,0.4625322997416021,0.5012919896640827
