step,coverage,test_greedy,test_beam,test_at10
500000,0.2919414969888156,0.17571059431524547,0.21705426356589147,0.28165374677002586
1000000,0.634356180097505,0.2351421188630491,0.39276485788113696,0.43410852713178294
1500000,0.8993404072268426,0.2532299741602067,0.4082687338501292,0.4728682170542636
2000000,0.9512474906796673,0.3049095607235142,0.4134366925064599,0.4806201550387597
2500000,0.9652996845425867,0.3281653746770026,0.4470284237726098,0.4754521963824289
3000000,0.9744766274734729,0.3643410852713178,0.46770025839793283,0.5322997416020672
3500000,0.9767708632061944,0.29457364341085274,0.40310077519379844,0.4728682170542636
