step,coverage,test_greedy,test_beam,test_at10
150000,0.0851528384279476,0.03296703296703297,,
300000,0.185589519650655,0.03296703296703297,,
450000,0.3296943231441048,0.054945054945054944,,
600000,0.601528384279476,0.04395604395604396,,
750000,0.6593886462882096,0.04395604395604396,,
900000,0.6888646288209607,0.18681318681318682,,
1050000,0.7117903930131004,0.21978021978021978,,
1200000,0.7270742358078602,0.18681318681318682,,
1350000,0.9137554585152838,0.16483516483516483,,
1500000,0.9410480349344978,0.1978021978021978,,
1650000,0.980349344978166,0.18681318681318682,,
1800000,1.0,0.37362637362637363,,
1950000,1.0,0.37362637362637363,,
2100000,1.0,0.21978021978021978,,
2250000,1.0,0.24175824175824176,,
2400000,1.0,0.18681318681318682,,
2550000,1.0,0.2087912087912088,,
2700000,1.0,0.21978021978021978,,
2850000,1.0,0.23076923076923078,,
3000000,1.0,0.23076923076923078,,
